year,scheme_category,no_of_schemes_as_on_march,funds_mobilised_for_the_period_april_to_march_inr_crore,repurchase_redemption_for_the_period_april_to_march_inr_crore,net_inflow_outflow_for_the_period_april_to_march_inr_crore,net_asset_under_management_as_on_march_inr_crore,released_on,updated_on,data_source,data_url
2025,Total B -Close ended Schemes,100,508.535285826,3027.452516845051,-2518.9172310190506,26606.531147930495,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Total B -Close ended Schemes,126,2994.81,14135.04,-11140.22,29065.95,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Total B -Close ended Schemes,165,16356.2393794,44200.47524812,-27844.23586872,33193.685308190004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Total B -Close ended Schemes,354,5765.915378878,90792.32588396498,-85026.410505087,60336.168498484585,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Total C -Interval Schemes,8,0.036934542,444.376214714,-444.33928017200003,97.34335642170231,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Total C -Interval Schemes,12,341.83,835.51,-493.68,499.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Total C -Interval Schemes,12,1996.0622,1588.6388,407.4234,999.291,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Total C -Interval Schemes,21,557.4278574759999,170.97632586,386.45153161599995,546.540313498983,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Grand Total (A+B+C),1760,13703350.940303462,12888235.53986972,815115.4004337402,6574287.274973981,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Grand Total (A+B+C),1437,8398672.28,8126139.95,272532.34,5077900.31,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Grand Total (A+B+C),1455,10507357.153144514,10431131.620629547,76225.53251496104,3942030.6802485506,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2022,Grand Total (A+B+C),1495,9317504.549769415,9070774.977331469,246729.5524379438,3756682.593254552,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2025,Fund of Funds Scheme (Domestic),94,25827.441428442387,15471.300603440783,10356.14082500161,97260.97178907752,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2024,Fund of Funds Scheme (Domestic),76,7382.39,9862.64,-2480.25,73059.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
2023,Fund of Funds Scheme (Domestic),76,27340.00008852,12378.12288001,14961.87720851,66590.40583974,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 
