fiscal_year,year,month,month_numeric,data_from_table,released_on,updated_on,data_source,data_url,period_date,equity_gross_purchase_inr_crore,equity_gross_sales_inr_crore,equity_net_purchase_sales_inr_crore,debt_gross_purchase_inr_crore,debt_gross_sales_inr_crore,debt_net_purchase_sales_inr_crore,total_gross_purchase_inr_crore,total_gross_sales_inr_crore,total_net_purchase_sales_inr_crore
2017-18,2018,March,3,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-03-14,62582.22,53326.71,9255.51,236733.12,198755.61,37977.51,299315.33999999997,252082.31999999998,47233.020000000004
2018-19,2018,April,4,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-04-14,57598.19,46304.73,11293.46,171450.16,151285.34,20164.82,229048.35,197590.07,31458.28
2018-19,2018,May,5,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-05-14,68739.62,55120.8,13618.82,174469.22,188554.77,14085.55,243208.84,243675.57,27704.37
2018-19,2018,June,6,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-06-14,57543.15,48100.59,9442.56,185365.02,144950.09,40414.93,242908.17,193050.68,49857.49
2018-19,2018,July,7,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-07-14,59897.02,55977.87,3919.15,142717.37,146352.58,-3635.21,202614.39,202330.45,283.94
2018-19,2018,August,8,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-08-14,57455.32,53360.79,4094.53,161151.51,125407.15,35744.36,218606.83,178767.94,39838.89
2018-19,2018,September,9,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-09-14,61772.13,50133.95,11638.18,170019.25,151332.77,18686.48,231791.38,201466.72,30324.66
2018-19,2018,October,10,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-10-14,78340.33,54293.01,24047.32,144356.66,116992.15,27364.51,222696.99,171285.16,51411.83
2018-19,2018,November,11,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-11-14,53828.26,48591.78,5236.48,180633.86,129241.29,51392.57,234462.12,177833.07,56629.05
2018-19,2018,December,12,Table 64 Trends in Transactions on Stock Exchanges by Mutual Funds   (₹   crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105,2018-12-14,48199.59,45280.62,2918.97,241205.45,175970.45,65235,289405.04,221251.07,68153.97
