fiscal_year,data_from_table,released_on,updated_on,data_source,data_url,mutual_fund_name,net_resource_mobilisation_inr_crore
2023-24,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Taurus Mutual Fund,28.14238189
2024-25,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Taurus Mutual Fund,108.07916944
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2014-15,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2015-16,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2016-17,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2017-18,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2018 - 19,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2019-20,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,0
2020-21,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,611.9344079
2021-22,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,405.63407925000007
2022-23,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,-56.67440973
2023-24,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,-233.09326633
2024-25,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Trust Mutual Fund,1748.96894569
2013-14,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Union Mutual Fund,202.99692880800205
2014-15,Table 60 AMC-Wise Net Resource Mobilisation (₹ crore),2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105 ,Union Mutual Fund,-259.31123654009167
