fiscal_year,month,month_numeric,data_from_table,listed_only_on_bse_no_of_issues,listed_only_on_bse_amount_rs.crore,listed_only_on_nse_no_of_issues,listed_only_on_nse_amount_rs.crore,listed_both_on_nse_and_bse_no_of_issues,listed_both_on_nse_and_bse_amount_rs.crore,total_no_of_issues,total_amount_rs.crore,released_on,updated_on,data_source,data_url
2018-19,December,12,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,109,25663.85,52,28334.72,24,30926.5,185,84925.07,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,January,1,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,192,33432.89,59,18057,33,32097.33,284,83587.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,February,2,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,140,16589.47,29,13113.62,14,9595.39,183,39298.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,March,3,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,160,44818.87,43,24892.6,17,44345.3,220,114056.77,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,April,4,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,174,31434.83,39,26394.18,11,12235.2,224,70064.22,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,May,5,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,91,13664.77,39,19502.31,10,10410.15,140,43577.24,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,June,6,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,113,24920.61,45,14032.9,13,10118.1,171,49071.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,July,7,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,117,13431.05,32,10736.18,13,21914.5,162,46081.73,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,August,8,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,94,12224.49,23,9939.1,6,18145.6,123,40309,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,September,9,Table 8: Resource Mobilisation through Private Placement of Corporate Debt,92,19225.39,22,9540.55,9,19862.8,123,48628.74,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
