fiscal_year,month,month_numeric,data_from_table,upgraded_no,upgraded_amount_cr,downgraded_no,downgraded_amount_cr,reaffirmed_no,reaffirmed_amount_cr,rating_watch_no,rating_watch_amount_cr,withdrawn_suspended_no,withdrawn_suspended_amount_cr,total_no,total_amount_cr,released_on,updated_on,data_source,data_url
2021-22,May,5,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),11,1640.69,8,1004.56,370,1226039.37,0,0,107,33777.01,496,1262461.6300000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,June,6,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),39,35460.2,17,3903.21,854,1676143.475,6,685.3,144,29734.96,1060,1745927.145,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,July,7,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),34,16879.48,15,9976.11,485,782921.94,20,34987.7,109,43192.76,663,887957.9899999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,August,8,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),68,45498.85,41,29942.41,667,898850.03,29,20892.63,121,47787.478,926,1042971.398,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,September,9,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),35,64553.55,24,5534.1,886,2447386.02,8,3793.67,131,54680.02,1084,2575947.36,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,October,10,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),39,13207.45,24,3498.16,405,369637.19,14,3614,89,33640.68,571,423597.48,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,November,11,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),59,36409.84,12,10283.52,414,798208.82,8,2783.51,88,36526.98,581,884212.6699999999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,December,12,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),33,24600.385,29,5358.9,872,832447.215,33,12834.76,131,42777.06,1098,918018.3200000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,January,1,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),28,6630.79,4,1218.24,942,860782.56,12,2481.33,62,27668.22,1048,898781.14,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,February,2,Table 14: Review of Accepted Ratings of Corporate Debt Securities (Maturity ≥ 1 year),76,25354.2,8,1027.1,611,1144189.49,2,125,68,32608.89,765,1203304.68,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
